date,PG,ULVR,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2010-01-04,61.12,19.96,3.062124248496994,,,,,0,0.0,0.0,0.0
2010-01-05,61.14,19.53,3.1305683563748077,,,,,0,0.0,0.0,0.0
2010-01-06,60.85,19.55,3.112531969309463,,,,,0,0.0,0.0,0.0
2010-01-07,60.52,19.31,3.1341273951320563,,,,,0,0.0,0.0,0.0
2010-01-08,60.44,19.36,3.121900826446281,3.1122505591519203,,,,0,0.0,0.0,0.0
2010-01-11,60.2,19.3,3.1191709844559585,3.1236599063437134,,,,0,0.0,0.0,0.0
2010-01-12,60.89,19.29,3.156557801969933,3.1288577954627383,,,,0,0.0,0.0,0.0
2010-01-13,61.52,19.31,3.185914034179182,3.143534208436682,,,,0,0.0,0.0,0.0
2010-01-14,61.58,19.45,3.1660668380462726,3.1499220970195254,,,,0,0.0,0.0,0.0
2010-01-15,60.82,19.31,3.149663386846194,3.155474609099508,,,,0,0.0,0.0,0.0
2010-01-19,61.72,19.72,3.129817444219067,3.1576039010521297,,,,0,0.0,0.0,0.0
2010-01-20,60.45,19.51,3.098411071245515,3.1459745549072458,,,,0,0.0,0.0,0.0
2010-01-21,59.84,19.4,3.0845360824742274,3.125698964566255,,,,0,0.0,0.0,0.0
2010-01-22,60.31,19.28,3.1281120331950207,3.1181080035960047,,,,0,0.0,0.0,0.0
2010-01-25,60.63,19.11,3.172684458398744,3.122712217906515,,,,0,0.0,0.0,0.0
2010-01-26,60.69,19.09,3.179151388161341,3.1325790066949697,,,,0,0.0,0.0,0.0
2010-01-27,60.81,18.95,3.2089709762532985,3.154690987696527,,,,0,0.0,0.0,0.0
2010-01-28,61.68,18.91,3.2617662612374403,3.190137023449169,,,,0,0.0,0.0,0.0
2010-01-29,61.55,19.1,3.2225130890052354,3.209017234611212,,,,0,0.0,0.0,0.0
2010-02-01,61.99,19.06,3.252360965372508,3.224952536005964,,,,0,0.0,0.0,0.0
2010-02-02,62.9,19.35,3.250645994832041,3.2392514573401043,,,,0,0.0,0.0,0.0
2010-02-03,62.65,19.34,3.2394002068252328,3.245337303454492,,,,0,0.0,0.0,0.0
2010-02-04,61.4,18.67,3.288698446705945,3.2507237405481924,,,,0,0.0,0.0,0.0
2010-02-05,61.3,18.18,3.371837183718372,3.2805885594908197,,,,0,0.0,0.0,0.0
2010-02-08,61.01,18.44,3.308568329718004,3.2918300323599192,,,,0,0.0,0.0,0.0
2010-02-09,61.76,18.41,3.3546985334057577,3.312640540074662,,,,0,0.0,0.0,0.0
2010-02-10,61.67,18.56,3.3227370689655173,3.329307912502719,,,,0,0.0,0.0,0.0
2010-02-11,61.96,18.54,3.341963322545847,3.339960887670699,,,,0,0.0,0.0,0.0
2010-02-12,61.76,18.67,3.3079807177289764,3.327189594472821,,,,0,0.0,0.0,0.0
2010-02-16,62.83,18.68,3.363490364025696,3.338174001334359,,,,0,0.0,0.0,0.0
2010-02-17,62.85,18.8,3.3430851063829787,3.3358513159298027,,,,0,0.0,0.0,0.0
2010-02-18,63.39,18.96,3.3433544303797467,3.339974788212649,,,,0,0.0,0.0,0.0
2010-02-19,63.45,19.47,3.2588597842835134,3.323354080560182,,,,0,0.0,0.0,0.0
2010-02-22,63.42,19.3,3.2860103626943005,3.3189600095532468,,,,0,0.0,0.0,0.0
2010-02-23,63.21,19.29,3.276827371695179,3.3016274110871437,,,,0,0.0,0.0,0.0
2010-02-24,63.89,19.37,3.298399586990191,3.2926903072085856,,,,0,0.0,0.0,0.0
2010-02-25,63.7,19.16,3.324634655532359,3.2889463522391083,,,,0,0.0,0.0,0.0
2010-02-26,63.28,19.24,3.2889812889812893,3.2949706531786638,,,,0,0.0,0.0,0.0
2010-03-01,63.51,19.71,3.222222222222222,3.2822130250842476,,,,0,0.0,0.0,0.0
2010-03-02,63.71,19.88,3.204728370221328,3.267793224789478,,,,0,0.0,0.0,0.0
2010-03-03,63.55,19.89,3.1950729009552536,3.24712788758249,,,,0,0.0,0.0,0.0
