date,C,WFC,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2010-01-04,34.0,27.32,1.2445095168374818,,,,,0,0.0,0.0,0.0
2010-01-05,35.3,28.07,1.2575703598147487,,,,,0,0.0,0.0,0.0
2010-01-06,36.4,28.11,1.2949128424048382,,,,,0,0.0,0.0,0.0
2010-01-07,36.5,29.13,1.2530037761757638,,,,,0,0.0,0.0,0.0
2010-01-08,35.9,28.86,1.2439362439362438,1.2587865478338152,,,,0,0.0,0.0,0.0
2010-01-11,36.3,28.8,1.2604166666666665,1.2619679777996522,,,,0,0.0,0.0,0.0
2010-01-12,35.2,28.08,1.2535612535612537,1.2611661565489531,,,,0,0.0,0.0,0.0
2010-01-13,35.0,28.58,1.224632610216935,1.2471101101113726,,,,0,0.0,0.0,0.0
2010-01-14,35.1,28.99,1.2107623318385652,1.2386618212439326,,,,0,0.0,0.0,0.0
2010-01-15,34.2,28.08,1.217948717948718,1.2334643160464278,,,,0,0.0,0.0,0.0
2010-01-19,35.4,28.28,1.2517680339462516,1.2317345895023446,,,,0,0.0,0.0,0.0
2010-01-20,34.6,27.82,1.2437095614665707,1.2297642510834081,,,,0,0.0,0.0,0.0
2010-01-21,32.7,28.0,1.167857142857143,1.2184091576114497,,,,0,0.0,0.0,0.0
2010-01-22,32.5,27.26,1.1922230374174614,1.214701298727229,,,,0,0.0,0.0,0.0
2010-01-25,32.3,27.66,1.167751265365148,1.2046618082105147,,,,0,0.0,0.0,0.0
2010-01-26,31.5,26.99,1.1670989255279733,1.1877279865268593,,,,0,0.0,0.0,0.0
2010-01-27,32.0,28.2,1.1347517730496455,1.1659364288434741,,,,0,0.0,0.0,0.0
2010-01-28,32.4,28.45,1.1388400702987698,1.1601330143317994,,,,0,0.0,0.0,0.0
2010-01-29,33.2,28.43,1.1677805135420332,1.1552445095567139,,,,0,0.0,0.0,0.0
2010-02-01,33.4,28.93,1.1545108883511925,1.152596434153923,,,,0,0.0,0.0,0.0
2010-02-02,34.1,28.79,1.1844390413337966,1.1560644573150873,,,,0,0.0,0.0,0.0
2010-02-03,33.7,28.14,1.1975835110163469,1.1686308049084277,,,,0,0.0,0.0,0.0
2010-02-04,31.8,27.06,1.1751662971175167,1.1758960502721774,,,,0,0.0,0.0,0.0
2010-02-05,32.2,27.42,1.174325309992706,1.1772050095623119,,,,0,0.0,0.0,0.0
2010-02-08,31.5,26.43,1.191827468785471,1.1846683256491675,,,,0,0.0,0.0,0.0
2010-02-09,31.8,26.71,1.190565331336578,1.1858935836497237,,,,0,0.0,0.0,0.0
2010-02-10,32.0,27.18,1.177336276674025,1.1818441367812593,,,,0,0.0,0.0,0.0
2010-02-11,32.1,27.08,1.185376661742984,1.1838862097063527,,,,0,0.0,0.0,0.0
2010-02-12,31.8,26.88,1.1830357142857144,1.1856282905649544,,,,0,0.0,0.0,0.0
2010-02-16,33.1,27.39,1.208470244614823,1.1889568457308248,,,,0,0.0,0.0,0.0
2010-02-17,34.1,27.33,1.247713135748262,1.2003864066131615,,,,0,0.0,0.0,0.0
2010-02-18,34.3,27.34,1.254572055596196,1.215833562397596,,,,0,0.0,0.0,0.0
2010-02-19,34.2,27.37,1.2495432955791013,1.2286668891648191,,,,0,0.0,0.0,0.0
2010-02-22,34.6,28.01,1.23527311674402,1.2391143696564804,,,,0,0.0,0.0,0.0
2010-02-23,33.5,27.29,1.2275558812751923,1.2429314969885543,,,,0,0.0,0.0,0.0
2010-02-24,34.5,27.66,1.2472885032537961,1.2428465704896614,,,,0,0.0,0.0,0.0
2010-02-25,33.9,27.44,1.2354227405247813,1.2390167074753782,,,,0,0.0,0.0,0.0
2010-02-26,34.0,27.34,1.2435991221653255,1.237827872792623,,,,0,0.0,0.0,0.0
2010-03-01,33.9,27.35,1.239488117001828,1.2386708728441846,,,,0,0.0,0.0,0.0
2010-03-02,34.0,27.87,1.2199497667743093,1.237149649944008,,,,0,0.0,0.0,0.0
2010-03-03,34.0,28.2,1.2056737588652482,1.2288267010662985,,,,0,0.0,0.0,0.0
2010-03-04,34.3,28.43,1.2064720365810762,1.2230365602775575,,,,0,0.0,0.0,0.0
2010-03-05,35.0,29.15,1.2006861063464838,1.2144539571137891,,,,0,0.0,0.0,0.0
2010-03-08,35.6,28.89,1.2322602976808585,1.2130083932495952,,,,0,0.0,0.0,0.0
2010-03-09,38.2,28.98,1.3181504485852313,1.2326485296117797,,,,0,0.0,0.0,0.0
2010-03-10,39.6,29.57,1.3391951301995266,1.2593528038786352,,,,0,0.0,0.0,0.0
2010-03-11,41.8,29.76,1.404569892473118,1.2989723750570437,,,,0,0.0,0.0,0.0
2010-03-12,39.7,29.63,1.339858251771853,1.3268068041421175,,,,0,0.0,0.0,0.0
2010-03-15,38.9,29.89,1.3014386082301772,1.3406424662519811,,,,0,0.0,0.0,0.0
2010-03-16,40.5,30.28,1.3375165125495376,1.3445156790448425,,,,0,0.0,0.0,0.0
2010-03-17,40.5,30.55,1.32569558101473,1.3418157692078831,,,,0,0.0,0.0,0.0
2010-03-18,40.2,30.29,1.3271706833938595,1.3263359273920314,,,,0,0.0,0.0,0.0
2010-03-19,39.0,30.38,1.2837393021724819,1.3151121374721573,,,,0,0.0,0.0,0.0
2010-03-22,40.4,30.41,1.3285103584347253,1.320526487513067,,,,0,0.0,0.0,0.0
2010-03-23,41.3,31.08,1.3288288288288288,1.318788950768925,,,,0,0.0,0.0,0.0
