date,WMT,TGT,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2021-12-02,135.47,245.5,0.5518126272912424,0.5718278067836025,0.5842474064600176,0.015002754040112275,-0.8278213215526532,0,0.9951463794940675,0.0,0.0
2021-12-03,137.51,247.57,0.5554388657753363,0.5653830334001613,0.5835620329278508,0.01536559632619604,-1.1830975604049327,-2,0.9951463794940675,0.0,0.0
2021-12-06,139.0,242.97,0.5720870889410216,0.5653117692169417,0.5831536591600718,0.015339074055111005,-1.1631660346007082,-2,0.9951463794940675,0.0,0.0
2021-12-07,138.55,245.63,0.564059764686724,0.5627775935453625,0.5826095023518545,0.015428898060945693,-1.285374284550586,-2,0.9951463794940675,0.0,0.0
2021-12-08,137.15,239.6,0.5724123539232053,0.5631621401235058,0.5822215378410633,0.015387012122676461,-1.2386678820814658,-2,0.9951463794940675,0.0,0.0
2021-12-09,138.5,237.56,0.5830106078464388,0.5694017362345452,0.5820704093764958,0.015332995635468825,-0.8262360104404528,0,0.9951463794940675,0.0,0.0
2021-12-10,141.03,238.18,0.5921152069863128,0.5767370044767406,0.5821509149015864,0.015373465467406795,-0.3521594032473583,0,0.9951463794940675,0.0,0.0
2021-12-13,143.57,234.17,0.6131015928598881,0.5849399052605138,0.582590352876124,0.01587536434473035,0.1479999030806261,0,0.9951463794940675,0.0,0.0
2021-12-14,144.94,235.28,0.616031961917715,0.5953343447067121,0.5830326575523963,0.016430929730851484,0.7486908748211346,0,0.9951463794940675,0.0,0.0
2021-12-15,145.77,236.65,0.6159729558419608,0.6040464650904631,0.5834208466020436,0.016930301350803298,1.218266471520358,-2,0.9951463794940675,0.0,0.0
2021-12-16,143.34,224.78,0.6376901859596049,0.6149823807130963,0.5842125326576236,0.01830680993274562,1.6807869950315186,1,0.9950263794940675,-0.002092925910422771,0.0013346383130171723
2021-12-17,138.75,223.31,0.621333572164256,0.6208260537486849,0.584762595016458,0.01891823773479159,1.9062800265959459,1,1.002670991102773,-0.002092925910422771,0.0013346383130171723
2021-12-20,139.2,219.19,0.6350654683151603,0.6252188288397394,0.5854639567536744,0.019978531004397986,1.9898796401654173,1,0.996230464593452,-0.002092925910422771,0.0013346383130171723
2021-12-21,139.62,220.07,0.6344344981142365,0.6288993360790437,0.5861005973326622,0.020914319695417252,2.0463844566629428,2,0.9964087317926977,0.0,0.0
2021-12-22,139.8,217.74,0.6420501515569027,0.6341147752220321,0.5867703045650305,0.022040777847896608,2.1480399187236356,2,0.9964087317926977,0.0,0.0
2021-12-23,139.49,221.01,0.631147911859192,0.6328063204019495,0.5873650494602316,0.022749386057451217,1.9974724076931432,1,0.9962887317926977,-0.0021506918058642193,0.0013574046423238768
2021-12-27,140.76,224.1,0.6281124497991968,0.6341620959289376,0.5876792868413394,0.02318300626000473,2.005038025106787,2,0.9976303483922434,0.0,0.0
2021-12-28,142.78,224.91,0.6348317104619626,0.6341153443582981,0.5882599612790507,0.023921195043766035,1.9169352950532261,1,0.9975103483922434,-0.002101134612690853,0.0013338668800853674
2021-12-29,142.71,227.92,0.6261407511407512,0.6324565949636011,0.5886811791487502,0.0243653494560536,1.796625814614567,1,1.0016723671241887,-0.002101134612690853,0.0013338668800853674
2021-12-30,143.17,231.91,0.6173515587943599,0.6275168764110926,0.5889642195717335,0.024600923461392244,1.567122343999083,1,1.0060279740538915,-0.002101134612690853,0.0013338668800853674
2021-12-31,144.69,231.44,0.62517283097131,0.6263218602335161,0.5892719355741157,0.02493979011462097,1.4855748380047447,-2,1.0022073320089613,-0.002101134612690853,0.0013338668800853674
2022-01-03,144.65,231.95,0.6236257814184092,0.6254245265573586,0.5895679409323366,0.025243619516151915,1.4204217268478279,-2,1.0029716495023124,-0.002101134612690853,0.0013338668800853674
2022-01-04,142.0,234.17,0.6063970619635308,0.6197375968576722,0.58950563479308,0.02519656420686672,1.199844622321686,-2,1.0115008406997328,-0.002101134612690853,0.0013338668800853674
2022-01-05,143.92,228.86,0.6288560692126189,0.6202806604720458,0.5898191156248329,0.025570688927949472,1.1912680543353507,-2,1.000383829110113,-0.002101134612690853,0.0013338668800853674
2022-01-06,143.52,231.35,0.6203587637778258,0.6208821014687389,0.5900689564990083,0.02579741650358851,1.1944275491867344,-2,1.004545611486602,-0.002101134612690853,0.0013338668800853674
2022-01-07,144.89,230.78,0.6278273680561574,0.6214130088857084,0.5907918096765721,0.026241298331249833,1.166908695697827,-2,1.000906752945567,-0.002101134612690853,0.0013338668800853674
2022-01-10,144.61,227.42,0.6358719549731775,0.6238622435966621,0.5917603366417129,0.02681823819750447,1.1970177428708342,-2,0.9970132779200336,-0.002101134612690853,0.0013338668800853674
