date,JNJ,ABT,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2021-12-07,163.36,132.42,1.2336505059658665,1.2316069350101915,1.3048995261942475,0.04583693993317385,-1.598985257107261,-1,1.0017081709311084,0.0019097332739194091,-0.0023368125876304722
2021-12-08,164.34,132.37,1.2415199818690035,1.2304553530346154,1.3039727406369153,0.0465533226368948,-1.5792081732966423,-1,1.0036965501689308,0.0019097332739194091,-0.0023368125876304722
2021-12-09,165.9,132.53,1.2517920470836792,1.236087169524104,1.3032107159137603,0.0470325818452156,-1.4271712025199905,-2,1.0063018440622242,0.0019097332739194091,-0.0023368125876304722
2021-12-10,165.49,134.37,1.2315993153233609,1.2377152386223989,1.3021298172875846,0.047927238310804525,-1.3440077278699443,-2,1.0012191182586772,0.0019097332739194091,-0.0023368125876304722
2021-12-13,168.45,135.96,1.2389673433362751,1.2395058387156372,1.301122728066774,0.048615639305161926,-1.267429375233876,-2,1.003156396735146,0.0019097332739194091,-0.0023368125876304722
2021-12-14,170.29,132.94,1.280953813750564,1.2489665002725765,1.30060788632777,0.04866371487993215,-1.0611887354388803,-2,1.0137274799738019,0.0019097332739194091,-0.0023368125876304722
2021-12-15,171.14,135.56,1.2624668043670697,1.2531558647721899,1.299734457524452,0.048873194784358996,-0.9530498867074028,0,1.0090995822636657,0.0,0.0
2021-12-16,173.01,136.09,1.2712910573884928,1.2570556668331523,1.299003936104941,0.04896677899267907,-0.8566679314982173,0,1.0090995822636657,0.0,0.0
2021-12-17,168.23,137.11,1.2269710451462328,1.2561300127977268,1.2975247490813737,0.04978682291152159,-0.83143960314984,0,1.0090995822636657,0.0,0.0
2021-12-20,167.75,134.98,1.2427767076603942,1.2568918856625506,1.296212018134967,0.0501796989981875,-0.7835864554276549,0,1.0090995822636657,0.0,0.0
2021-12-21,167.21,135.27,1.2361203518888149,1.247925193290201,1.2942605325418273,0.05020229051108114,-0.9229726130005717,0,1.0090995822636657,0.0,0.0
2021-12-22,167.93,138.99,1.2082164184473703,1.237075116106261,1.2915450221165905,0.050379162779729696,-1.0811991109992356,-2,1.0090995822636657,0.0,0.0
2021-12-23,168.25,139.16,1.209039954009773,1.224624895430517,1.288812156569686,0.0503323977399678,-1.2752673033933235,-2,1.0090995822636657,0.0,0.0
2021-12-27,169.67,141.46,1.1994203308355718,1.2191147525683848,1.286016863768197,0.05056541699466586,-1.3230803813378966,-2,1.0090995822636657,0.0,0.0
2021-12-28,170.35,140.47,1.2127144586032605,1.2131023027569579,1.283410752471221,0.050240250357113284,-1.3994446527336732,-2,1.0090995822636657,0.0,0.0
2021-12-29,171.55,141.19,1.2150293930165026,1.2088841109824957,1.280691739484002,0.049433050665441514,-1.4526238525615986,-2,1.0090995822636657,0.0,0.0
2021-12-30,172.31,141.0,1.2220567375886524,1.211652174810752,1.2781074475083625,0.048347963906089274,-1.3745206070454725,-2,1.0090995822636657,0.0,0.0
2021-12-31,171.07,140.74,1.2155037658092935,1.2129449371706562,1.2754869126525987,0.047383517139168316,-1.3199099445964062,-2,1.0090995822636657,0.0,0.0
2022-01-03,171.54,139.04,1.2337456846950519,1.2198100079425522,1.2732438110895978,0.046081529594559516,-1.1595492514500672,-2,1.0090995822636657,0.0,0.0
2022-01-04,171.08,135.77,1.2600721808941593,1.2292815524007321,1.2715896659613577,0.04469993963928874,-0.9464915143518252,0,1.0090995822636657,0.0,0.0
2022-01-05,172.22,135.16,1.2741935483870968,1.2411143834748508,1.269975152776251,0.04275316659527475,-0.6750557116531821,0,1.0090995822636657,0.0,0.0
2022-01-06,171.63,135.14,1.2700162794139411,1.2507062918399086,1.2687403973922362,0.041631139722166165,-0.4331878894664403,0,1.0090995822636657,0.0,0.0
2022-01-07,173.95,135.56,1.2831956329300678,1.2642446652640633,1.2674489285963415,0.03989631777781503,-0.08031476363615618,0,1.0090995822636657,0.0,0.0
2022-01-10,173.09,135.26,1.2796835723791218,1.2734322428008773,1.266079871524613,0.03796547537315994,0.19365940249656488,0,1.0090995822636657,0.0,0.0
2022-01-11,171.25,135.7,1.2619749447310245,1.2738127955682503,1.2642314072945295,0.035282453002722085,0.2715624186612415,0,1.0090995822636657,0.0,0.0
2022-01-12,169.79,133.72,1.269742746036494,1.2729226350981298,1.2625495245678249,0.03241174636893273,0.3200417037771126,0,1.0090995822636657,0.0,0.0
2022-01-13,168.76,129.65,1.3016583108368684,1.2792510413827152,1.2613582367648073,0.02945718771748793,0.6074172724671,0,1.0090995822636657,0.0,0.0
2022-01-14,167.84,128.16,1.3096129837702872,1.2845345115507594,1.2610484993859403,0.028833579297138087,0.8145368260662034,0,1.0090995822636657,0.0,0.0
2022-01-18,167.1,126.57,1.3202180611519319,1.2926414093053211,1.2612741782539996,0.02924679715748069,1.0725014052794668,-2,1.0090995822636657,0.0,0.0
2022-01-19,166.58,126.05,1.3215390717969062,1.3045542347184975,1.261766790730076,0.03001170412844651,1.4256919169033635,-2,1.0090995822636657,0.0,0.0
2022-01-20,165.25,124.71,1.3250741720792238,1.3156205199270434,1.2622471047214632,0.030793451763277826,1.733271593450584,1,1.0089795822636658,-0.001815431164901664,0.0024055809477988937
2022-01-21,164.87,125.83,1.31025987443376,1.3173408326464218,1.2625246350566954,0.031153817169296157,1.7595339053267214,1,1.0123636967678633,-0.001815431164901664,0.0024055809477988937
2022-01-24,162.97,123.82,1.3161847843644,1.3186551927652443,1.2630923221095465,0.03182020910228503,1.7461503938296832,1,1.0109777982761006,-0.001815431164901664,0.0024055809477988937
2022-01-25,167.63,123.27,1.3598604688894298,1.3265836743127442,1.2645040858035759,0.034157662036276334,1.8174425533936758,1,1.0011948195263696,-0.001815431164901664,0.0024055809477988937
2022-01-26,168.38,120.07,1.4023486299658532,1.3427455859465334,1.2668146755721508,0.038514397504045506,1.9714941760780993,1,0.9921353871197368,-0.001815431164901664,0.0024055809477988937
2022-01-27,170.59,120.44,1.4163899036864829,1.3610087322679854,1.2693493576182364,0.04308036708571641,2.1276368065150315,2,0.988893464681635,0.0,0.0
2022-01-28,171.79,125.35,1.370482648583965,1.373053287098026,1.270580576662772,0.044890268565786304,2.2827377449319823,2,0.988893464681635,0.0,0.0
2022-01-31,172.29,127.46,1.3517181860975993,1.380159967444666,1.2717339217224404,0.04607548084235728,2.353226569532605,2,0.988893464681635,0.0,0.0
2022-02-01,170.88,127.2,1.3433962264150943,1.3768671189497987,1.2728725354632318,0.04699450984110916,2.2129092065898335,2,0.988893464681635,0.0,0.0
2022-02-02,172.77,130.04,1.3285912027068596,1.3621156334980002,1.2731146742266866,0.04724708961318754,1.8837342151646916,1,0.988773464681635,-0.0017364125716270184,0.0023069824669332516
2022-02-03,172.76,130.11,1.3277995542233492,1.3443975636053733,1.273836938090451,0.047752060287189306,1.4776456783342586,-2,0.9889523175800367,-0.0017364125716270184,0.0023069824669332516
2022-02-04,171.63,129.71,1.3231824840027753,1.3349375306891356,1.2744670577156019,0.048154645366154505,1.2557557534425405,-2,0.9899916707992018,-0.0017364125716270184,0.0023069824669332516
2022-02-07,171.06,128.05,1.3358844201483795,1.3317707774992915,1.2753123540416031,0.048786644138567474,1.157251630125059,-2,0.9871518350699201,-0.0017364125716270184,0.0023069824669332516
2022-02-08,171.51,128.65,1.3331519626894675,1.3297219247541663,1.2761746444479205,0.049350292895407495,1.0850448328591147,-2,0.9877546388928479,-0.0017364125716270184,0.0023069824669332516
2022-02-09,171.49,130.49,1.3142003218637444,1.3268437485855433,1.276667577021347,0.04958328184890238,1.0119574520521002,-2,0.9920342148834376,-0.0017364125716270184,0.0023069824669332516
2022-02-10,169.42,127.76,1.3260801502817783,1.326499867797229,1.2777141126945644,0.04995735195724055,0.9765480593211057,0,0.9892127421524056,0.0,0.0
2022-02-11,167.71,125.49,1.3364411506892981,1.3291516011345337,1.2792748102540572,0.05030957685777162,0.9913975428869406,0,0.9892127421524056,0.0,0.0
2022-02-14,165.6,122.78,1.3487538687082585,1.3317254908465093,1.2805961084701531,0.05108297181542248,1.0009085329080174,-2,0.9892127421524056,0.0,0.0
2022-02-15,167.31,123.98,1.349491853524762,1.3349934690135683,1.2818821656340385,0.05183705942393694,1.0245817175926553,-2,0.9892127421524056,0.0,0.0
2022-02-16,167.21,123.68,1.3519566623544632,1.342544737111712,1.2830111710809324,0.05262052679922435,1.1313753330127663,-2,0.9892127421524056,0.0,0.0
2022-02-17,166.19,120.58,1.3782551003483166,1.3529797271250197,1.2847329542878125,0.05402365951048103,1.263275636186155,-2,0.9892127421524056,0.0,0.0
2022-02-18,163.36,116.79,1.3987498929702886,1.3654414755812176,1.286530617456855,0.05599074495004214,1.4093553889088473,-2,0.9892127421524056,0.0,0.0
2022-02-22,161.14,117.51,1.3712875499957449,1.3699482118387152,1.2880320345136989,0.0570433884155824,1.4360328094156392,-2,0.9892127421524056,0.0,0.0
2022-02-23,161.22,117.25,1.3750106609808102,1.3750519733299247,1.2898706032569813,0.05804744661337725,1.4674438763911624,-2,0.9892127421524056,0.0,0.0
