date,CAT,DE,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2014-10-07,94.7,80.01,1.183602049743782,1.1882105560253187,1.238061820430422,0.04003629617611113,-1.245151753943925,-2,1.0143730905222303,0.0,0.0
2014-10-08,96.65,81.31,1.1886606813430083,1.186555813078715,1.237199465330252,0.040539115336010685,-1.2492540064521462,-2,1.0143730905222303,0.0,0.0
2014-10-09,93.5,81.15,1.1521873074553295,1.1785646856577752,1.235646112368053,0.041980020485169176,-1.3597284148644908,-2,1.0143730905222303,0.0,0.0
2014-10-10,93.13,80.98,1.1500370461842429,1.1714980929472039,1.2340215248786117,0.043375919648349914,-1.441431846017041,-2,1.0143730905222303,0.0,0.0
2014-10-13,91.68,81.65,1.1228413962033068,1.1594656961859338,1.2317819173525164,0.04557146650757868,-1.5868750055378673,-1,1.0142530905222304,0.003272251308900523,-0.0036742192284139616
2014-10-14,92.8,84.36,1.1000474158368896,1.1427547694045554,1.2291533907139849,0.04850185654557242,-1.7813466836728025,-1,1.007960877879197,0.003272251308900523,-0.0036742192284139616
2014-10-15,92.59,84.93,1.09019192275992,1.1230610176879376,1.2265728790194104,0.05165929613856662,-2.0037412250802076,2,1.0050563943065798,0.0,0.0
2014-10-16,93.24,84.12,1.108416547788873,1.1143068657546464,1.2243908754181405,0.053830339760472294,-2.0450179239687607,2,1.0050563943065798,0.0,0.0
2014-10-17,95.05,83.29,1.1411934205787009,1.112538140633538,1.223283533447177,0.05485451829089865,-2.018892814377584,2,1.0050563943065798,0.0,0.0
2014-10-20,94.03,82.2,1.1439172749391728,1.1167533163807113,1.2220691416599168,0.0557993233677061,-1.887403268050327,-1,1.0049363943065799,0.0031904711262363073,-0.0036496350364963502
2014-10-21,95.89,83.78,1.144545237526856,1.1256528807187045,1.2209631338080558,0.056675143728547914,-1.68169406937635,-1,1.0051042472437153,0.0031904711262363073,-0.0036496350364963502
2014-10-22,94.57,83.42,1.1336609925677295,1.1343466946802665,1.2195285388707937,0.05778524223982464,-1.4741107052385303,-2,1.0022066939702219,0.0031904711262363073,-0.0036496350364963502
2014-10-23,99.27,85.17,1.1655512504402958,1.1457736352105512,1.2187858339906021,0.05819323857189694,-1.2546508936746212,-2,1.010815046949664,0.0031904711262363073,-0.0036496350364963502
2014-10-24,99.44,85.43,1.163993913145265,1.150333733723864,1.218456362707908,0.05845028508914259,-1.1654798412043685,-2,1.010408521931635,0.0031904711262363073,-0.0036496350364963502
2014-10-27,98.54,84.58,1.1650508394419485,1.154560446624419,1.2181547932083372,0.05868177833246242,-1.0837153949838314,-2,1.0106392876990442,0.0031904711262363073,-0.0036496350364963502
2014-10-28,101.16,85.49,1.1832962919639725,1.1623106575118423,1.2179768632634107,0.058772460943094504,-0.9471477773487545,0,1.0155502030948917,0.0,0.0
2014-10-29,100.19,85.15,1.176629477392836,1.1709043544768636,1.2177530637024685,0.05890599165497312,-0.7953131406395689,0,1.0155502030948917,0.0,0.0
2014-10-30,100.16,85.23,1.1751730611287106,1.1728287166145466,1.2175348088437488,0.05904119297990538,-0.7572017090579093,0,1.0155502030948917,0.0,0.0
2014-10-31,101.41,85.54,1.185527238718728,1.1771353817292391,1.217391991376531,0.05910917535513064,-0.6810551729985789,0,1.0155502030948917,0.0,0.0
2014-11-03,100.22,85.0,1.1790588235294117,1.1799369785467317,1.2172529817326643,0.05919065704262979,-0.6304373874251323,0,1.0155502030948917,0.0,0.0
2014-11-04,98.61,84.55,1.1662921348314608,1.1765361471202294,1.2167087761475164,0.059511077976967086,-0.6750445529290406,0,1.0155502030948917,0.0,0.0
2014-11-05,99.41,84.97,1.1699423325879723,1.1751987181592567,1.216101046599684,0.05980353864374635,-0.6839449532256808,0,1.0155502030948917,0.0,0.0
2014-11-06,100.91,87.77,1.149709467927538,1.1701059995190222,1.2145187987883448,0.06028944909386013,-0.7366595637684408,0,1.0155502030948917,0.0,0.0
2014-11-07,101.76,88.66,1.1477554703361157,1.1625516458424996,1.2129035637541503,0.06076433728771012,-0.8286425913483079,0,1.0155502030948917,0.0,0.0
2014-11-10,102.21,88.54,1.154393494465778,1.157618580029773,1.2113612226241774,0.06105965514380865,-0.8801661664781602,0,1.0155502030948917,0.0,0.0
2014-11-11,102.53,88.45,1.1591859807801017,1.1561973492195012,1.209974915343756,0.0612876455850923,-0.8774617724479158,0,1.0155502030948917,0.0,0.0
2014-11-12,102.99,88.27,1.166761073977569,1.1555610974974204,1.2085560011078864,0.06128616127926865,-0.8647124000633508,0,1.0155502030948917,0.0,0.0
2014-11-13,101.11,87.46,1.1560713469014408,1.1568334732922012,1.206920165262699,0.06135646943055301,-0.8163229148507157,0,1.0155502030948917,0.0,0.0
2014-11-14,101.34,87.52,1.1579067641681902,1.158863732058616,1.2053451627763172,0.06138193785333717,-0.757249320292911,0,1.0155502030948917,0.0,0.0
2014-11-17,101.7,86.81,1.17152401797028,1.1622898367595165,1.2037698080026742,0.06100948154537104,-0.6798938491603184,0,1.0155502030948917,0.0,0.0
2014-11-18,102.04,87.29,1.1689769733073663,1.1642480352649691,1.2021095311449195,0.06056937213717599,-0.6250930882064056,0,1.0155502030948917,0.0,0.0
2014-11-19,101.3,86.33,1.1734043785474342,1.1655766961789422,1.2002512886232861,0.059690302275218814,-0.5809083070892656,0,1.0155502030948917,0.0,0.0
2014-11-20,102.09,85.37,1.1958533442661357,1.1735330956518815,1.1986059503042077,0.05839276800582671,-0.4293828758010639,0,1.0155502030948917,0.0,0.0
2014-11-21,106.45,87.07,1.2225795337085106,1.1864676495599453,1.1974170343114927,0.0571319331040309,-0.19165087117934157,0,1.0155502030948917,0.0,0.0
2014-11-24,105.96,87.52,1.2106946983546618,1.1943017856368217,1.1959775681016072,0.05564751790886498,-0.030114235598611316,0,1.0155502030948917,0.0,0.0
2014-11-25,106.24,87.79,1.2101606105478981,1.202538513084928,1.1944764647522772,0.053977425284769204,0.1493596311813274,0,1.0155502030948917,0.0,0.0
2014-11-26,105.79,86.99,1.216116795033912,1.2110809963822238,1.1930104781872037,0.052112571302600795,0.3467592894253941,0,1.0155502030948917,0.0,0.0
2014-11-28,100.6,86.62,1.161394597090741,1.2041892469471447,1.1905445705475717,0.04997076137013571,0.27305320202160355,0,1.0155502030948917,0.0,0.0
2014-12-01,99.0,89.58,1.1051574012056262,1.1807048204465678,1.187113395535657,0.048607019851972716,-0.1318446411363176,0,1.0155502030948917,0.0,0.0
2014-12-02,99.51,88.31,1.1268259540255916,1.1639310715807538,1.1842068631925848,0.04685060342459602,-0.4327754634892592,0,1.0155502030948917,0.0,0.0
2014-12-03,100.18,90.18,1.1108893324462186,1.144076815960418,1.180958767466891,0.044998566047886136,-0.8196250402118244,0,1.0155502030948917,0.0,0.0
