date,PEP,KO,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2021-01-04,144.27,52.76,2.7344579226686885,,,,,0,0.0,0.0,0.0
2021-01-05,144.7,52.18,2.7730931391337674,,,,,0,0.0,0.0,0.0
2021-01-06,142.93,50.52,2.8291765637371338,,,,,0,0.0,0.0,0.0
2021-01-07,142.47,49.96,2.8516813450760607,,,,,0,0.0,0.0,0.0
2021-01-08,144.18,51.08,2.8226311667971813,2.8022080274825663,,,,0,0.0,0.0,0.0
2021-01-11,142.09,50.2,2.8304780876494022,2.821412060478709,,,,0,0.0,0.0,0.0
2021-01-12,141.43,50.11,2.8223907403711834,2.8312715807261926,,,,0,0.0,0.0,0.0
2021-01-13,142.59,50.16,2.842703349282297,2.8339769378352253,,,,0,0.0,0.0,0.0
2021-01-14,141.76,49.23,2.879544992890514,2.8395496673981158,,,,0,0.0,0.0,0.0
2021-01-15,141.39,48.7,2.903285420944558,2.855680518227591,,,,0,0.0,0.0,0.0
2021-01-19,142.06,48.51,2.928468357039786,2.8752785721056675,,,,0,0.0,0.0,0.0
2021-01-20,141.33,48.68,2.9032456861133937,2.8914495612541096,,,,0,0.0,0.0,0.0
2021-01-21,139.61,48.95,2.852093973442288,2.893327686086108,,,,0,0.0,0.0,0.0
2021-01-22,138.59,48.49,2.8581150752732523,2.889041702562656,,,,0,0.0,0.0,0.0
2021-01-25,140.18,48.78,2.873718737187372,2.8831283658112183,,,,0,0.0,0.0,0.0
2021-01-26,141.8,49.29,2.876851288293772,2.872804952062016,,,,0,0.0,0.0,0.0
2021-01-27,138.04,48.53,2.844426128168143,2.8610410404729656,,,,0,0.0,0.0,0.0
2021-01-28,139.19,49.15,2.831943031536114,2.8570108520917303,,,,0,0.0,0.0,0.0
2021-01-29,136.57,48.15,2.836344755970924,2.852656788231265,,,,0,0.0,0.0,0.0
2021-02-01,136.98,48.48,2.8254950495049505,2.8430120506947807,,,,0,0.0,0.0,0.0
2021-02-02,138.38,48.96,2.826388888888889,2.832919570813804,,,,0,0.0,0.0,0.0
2021-02-03,138.02,48.77,2.830018453967603,2.830038035973696,,,,0,0.0,0.0,0.0
2021-02-04,139.68,49.01,2.850030605998776,2.8336555508662284,,,,0,0.0,0.0,0.0
2021-02-05,140.96,49.65,2.839073514602216,2.8342013025924873,,,,0,0.0,0.0,0.0
2021-02-08,140.4,49.92,2.8125,2.831602292691497,,,,0,0.0,0.0,0.0
2021-02-09,139.6,49.7,2.8088531187122734,2.8280951386561735,,,,0,0.0,0.0,0.0
2021-02-10,137.7,49.6,2.7762096774193545,2.817333383346524,,,,0,0.0,0.0,0.0
2021-02-11,134.97,50.3,2.683300198807157,2.7839873019082,,,,0,0.0,0.0,0.0
2021-02-12,133.87,50.69,2.6409548234365756,2.744363563675072,,,,0,0.0,0.0,0.0
2021-02-16,134.38,50.27,2.6731649094887606,2.7164965455728245,,,,0,0.0,0.0,0.0
2021-02-17,134.46,50.13,2.682226211849192,2.691171164200208,,,,0,0.0,0.0,0.0
2021-02-18,135.37,50.77,2.6663383888122905,2.669196906478795,,,,0,0.0,0.0,0.0
2021-02-19,132.51,50.11,2.6443823588106166,2.6614133384794867,,,,0,0.0,0.0,0.0
2021-02-22,131.99,50.63,2.6069523997629864,2.6546128537447693,,,,0,0.0,0.0,0.0
2021-02-23,132.78,50.54,2.627225959635932,2.6454250637742036,,,,0,0.0,0.0,0.0
2021-02-24,132.09,50.71,2.604811674225991,2.6299421562495633,,,,0,0.0,0.0,0.0
2021-02-25,130.0,50.17,2.59118995415587,2.6149124693182793,,,,0,0.0,0.0,0.0
2021-02-26,129.19,48.99,2.6370687895488873,2.6134497554659335,,,,0,0.0,0.0,0.0
2021-03-01,130.62,49.9,2.6176352705410824,2.6155863296215527,,,,0,0.0,0.0,0.0
2021-03-02,131.07,50.1,2.6161676646706584,2.613374670628498,,,,0,0.0,0.0,0.0
2021-03-03,129.14,49.98,2.5838335334133653,2.6091790424659727,,,,0,0.0,0.0,0.0
2021-03-04,128.83,49.94,2.5796956347617144,2.6068801785871414,,,,0,0.0,0.0,0.0
2021-03-05,133.03,50.79,2.6192163811773974,2.6033096969128438,,,,0,0.0,0.0,0.0
2021-03-08,132.13,51.64,2.5586754453911693,2.5915177318828606,,,,0,0.0,0.0,0.0
2021-03-09,132.25,50.86,2.6002752654345263,2.5883392520356345,,,,0,0.0,0.0,0.0
2021-03-10,133.58,51.44,2.5968118195956458,2.590934909272091,,,,0,0.0,0.0,0.0
2021-03-11,133.22,50.88,2.618317610062893,2.598659304332326,,,,0,0.0,0.0,0.0
2021-03-12,133.04,50.36,2.641779189833201,2.603171866063487,,,,0,0.0,0.0,0.0
2021-03-15,133.03,51.03,2.6068979031941995,2.612816357624093,,,,0,0.0,0.0,0.0
2021-03-16,134.01,51.22,2.6163607965638422,2.6160334638499565,,,,0,0.0,0.0,0.0
2021-03-17,133.62,51.24,2.607728337236534,2.618216767378134,,,,0,0.0,0.0,0.0
2021-03-18,132.53,50.57,2.6207237492584534,2.618697995217246,,,,0,0.0,0.0,0.0
2021-03-19,134.5,50.81,2.647116709309191,2.619765499112444,,,,0,0.0,0.0,0.0
2021-03-22,137.8,51.0,2.7019607843137257,2.638778075336349,,,,0,0.0,0.0,0.0
2021-03-23,139.46,51.39,2.7137575403775056,2.658257424099082,,,,0,0.0,0.0,0.0
2021-03-24,138.81,51.52,2.6942934782608696,2.675570452303949,,,,0,0.0,0.0,0.0
2021-03-25,139.63,52.02,2.6841599384851977,2.688257690149298,,,,0,0.0,0.0,0.0
2021-03-26,142.7,53.04,2.6904223227752637,2.6969188128425126,,,,0,0.0,0.0,0.0
2021-03-29,144.81,53.85,2.6891364902506965,2.6943539540299066,,,,0,0.0,0.0,0.0
2021-03-30,142.54,53.15,2.681843838193791,2.6879712135931637,2.7284607407050845,0.10895377958340985,-0.37162113390406903,0,1.0,0.0,0.0
