date,BA,AIR,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2010-01-04,56.18,13.99,4.015725518227305,,,,,0,0.0,0.0,0.0
2010-01-05,58.02,13.945,4.160631050555755,,,,,0,0.0,0.0,0.0
2010-01-06,59.78,14.07,4.248756218905473,,,,,0,0.0,0.0,0.0
2010-01-07,62.2,14.21,4.377199155524279,,,,,0,0.0,0.0,0.0
2010-01-08,61.6,14.35,4.2926829268292686,4.218998974008416,,,,0,0.0,0.0,0.0
2010-01-11,60.87,14.48,4.203729281767956,4.256599726716546,,,,0,0.0,0.0,0.0
2010-01-12,60.43,14.1,4.2858156028368795,4.281636637172771,,,,0,0.0,0.0,0.0
2010-01-13,61.16,14.105,4.336051045728465,4.299095602537369,,,,0,0.0,0.0,0.0
2010-01-14,61.56,14.23,4.326071679550246,4.288870107342563,,,,0,0.0,0.0,0.0
2010-01-15,60.82,14.43,4.214830214830215,4.273299564942752,,,,0,0.0,0.0,0.0
2010-01-19,60.65,14.805,4.096588990206011,4.251871506630364,,,,0,0.0,0.0,0.0
2010-01-20,60.2,14.815,4.063449206884914,4.20739822743997,,,,0,0.0,0.0,0.0
2010-01-21,59.2,14.4,4.111111111111112,4.1624102405164995,,,,0,0.0,0.0,0.0
2010-01-22,57.77,14.185,4.072611913993655,4.111718287405181,,,,0,0.0,0.0,0.0
2010-01-25,57.78,13.955,4.140451451092798,4.096842534657698,,,,0,0.0,0.0,0.0
2010-01-26,57.71,14.01,4.119200571020699,4.1013648508206355,,,,0,0.0,0.0,0.0
2010-01-27,61.93,13.795,4.489307720188474,4.186536553481348,,,,0,0.0,0.0,0.0
2010-01-28,62.56,13.775,4.541560798548095,4.272626490968745,,,,0,0.0,0.0,0.0
2010-01-29,60.6,14.2,4.267605633802817,4.311625234930577,,,,0,0.0,0.0,0.0
2010-02-01,61.7,14.275,4.322241681260945,4.347983280964206,,,,0,0.0,0.0,0.0
2010-02-02,61.94,14.61,4.239561943874059,4.372055555534878,,,,0,0.0,0.0,0.0
2010-02-03,61.46,14.625,4.202393162393163,4.314672643975816,,,,0,0.0,0.0,0.0
2010-02-04,59.32,14.25,4.16280701754386,4.238921887774969,,,,0,0.0,0.0,0.0
2010-02-05,58.4,14.1,4.141843971631205,4.2137695553406465,,,,0,0.0,0.0,0.0
2010-02-08,57.89,14.01,4.1320485367594575,4.175730926440349,,,,0,0.0,0.0,0.0
2010-02-09,59.74,13.805,4.327417602318001,4.193302058129137,,,,0,0.0,0.0,0.0
2010-02-10,59.54,13.795,4.316056542225444,4.216034734095594,,,,0,0.0,0.0,0.0
2010-02-11,60.59,13.73,4.412964311726148,4.266066192932051,,,,0,0.0,0.0,0.0
2010-02-12,59.65,13.75,4.338181818181818,4.3053337622421735,,,,0,0.0,0.0,0.0
