date,WMT,DE,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2021-01-04,54.23,56.06,0.9673564038530146,,,,,0,0.0,0.0,0.0
2021-01-05,53.69,55.85,0.9613249776186212,,,,,0,0.0,0.0,0.0
2021-01-06,53.57,55.7,0.9617594254937163,,,,,0,0.0,0.0,0.0
2021-01-07,53.6,56.1,0.9554367201426025,,,,,0,0.0,0.0,0.0
2021-01-08,53.33,57.63,0.9253860836369946,0.9542527221489898,,,,0,0.0,0.0,0.0
2021-01-11,54.21,59.95,0.9042535446205171,0.9416321503024904,,,,0,0.0,0.0,0.0
2021-01-12,54.73,57.39,0.9536504617529186,0.9400972471293498,,,,0,0.0,0.0,0.0
2021-01-13,55.01,58.29,0.9437296277234517,0.9364912875752969,,,,0,0.0,0.0,0.0
2021-01-14,54.21,58.35,0.9290488431876607,0.9312137121843087,,,,0,0.0,0.0,0.0
2021-01-15,53.68,56.33,0.9529557962009587,0.9367276546971013,,,,0,0.0,0.0,0.0
2021-01-19,54.03,57.66,0.9370447450572321,0.9432858947844445,,,,0,0.0,0.0,0.0
2021-01-20,53.86,56.11,0.959900196043486,0.9445358416425579,,,,0,0.0,0.0,0.0
2021-01-21,52.92,55.45,0.9543733092876465,0.9466645779553968,,,,0,0.0,0.0,0.0
2021-01-22,52.94,53.02,0.9984911354205959,0.9605530364019839,,,,0,0.0,0.0,0.0
2021-01-25,52.88,53.69,0.9849133916930528,0.9669445555004026,,,,0,0.0,0.0,0.0
2021-01-26,53.61,53.41,1.0037446171129003,0.9802845299115364,,,,0,0.0,0.0,0.0
2021-01-27,53.4,52.39,1.0192784882611186,0.9921601883550629,,,,0,0.0,0.0,0.0
2021-01-28,52.61,51.11,1.0293484640970456,1.0071552193169426,,,,0,0.0,0.0,0.0
2021-01-29,53.43,49.95,1.0696696696696697,1.0213909261667573,,,,0,0.0,0.0,0.0
2021-02-01,53.48,51.35,1.0414800389483934,1.0327042556178254,,,,0,0.0,0.0,0.0
2021-02-02,53.49,52.45,1.0198284080076263,1.0359210137967707,,,,0,0.0,0.0,0.0
2021-02-03,54.27,51.84,1.046875,1.0414403161445471,,,,0,0.0,0.0,0.0
2021-02-04,52.97,49.87,1.0621616202125526,1.0480029473676484,,,,0,0.0,0.0,0.0
2021-02-05,53.45,49.82,1.0728623042954637,1.0486414742928072,,,,0,0.0,0.0,0.0
2021-02-08,52.93,48.96,1.0810866013071896,1.0565627867645664,,,,0,0.0,0.0,0.0
2021-02-09,53.25,50.32,1.058227344992051,1.0642425741614514,,,,0,0.0,0.0,0.0
2021-02-10,53.24,50.05,1.0637362637362637,1.0676148269087042,,,,0,0.0,0.0,0.0
2021-02-11,53.08,52.32,1.014525993883792,1.058087701642952,,,,0,0.0,0.0,0.0
2021-02-12,52.9,53.11,0.9960459423837319,1.0427244292606057,,,,0,0.0,0.0,0.0
2021-02-16,53.56,53.78,0.9959092599479361,1.025688960988755,,,,0,0.0,0.0,0.0
2021-02-17,54.06,56.48,0.9571529745042494,1.0054740868911947,,,,0,0.0,0.0,0.0
2021-02-18,53.47,57.26,0.9338106880894167,0.9794889717618253,,,,0,0.0,0.0,0.0
2021-02-19,53.49,57.28,0.9338337988826816,0.9633505327616032,,,,0,0.0,0.0,0.0
2021-02-22,53.83,56.7,0.9493827160493826,0.9540178874947334,,,,0,0.0,0.0,0.0
2021-02-23,53.62,56.09,0.9559636298805491,0.9460287614812559,,,,0,0.0,0.0,0.0
2021-02-24,53.92,56.18,0.9597721609113564,0.9465525987626773,,,,0,0.0,0.0,0.0
2021-02-25,54.15,56.96,0.9506671348314606,0.9499238881110861,,,,0,0.0,0.0,0.0
2021-02-26,54.07,57.3,0.943630017452007,0.9518831318249511,,,,0,0.0,0.0,0.0
2021-03-01,53.9,58.29,0.9246869102762052,0.9469439706703155,,,,0,0.0,0.0,0.0
2021-03-02,53.59,58.21,0.9206321937811373,0.9398776834504332,,,,0,0.0,0.0,0.0
2021-03-03,53.66,58.66,0.914763041254688,0.9308758595190996,,,,0,0.0,0.0,0.0
2021-03-04,53.96,58.5,0.9223931623931624,0.92522106503144,,,,0,0.0,0.0,0.0
2021-03-05,54.14,59.54,0.9093046691299966,0.9183559953670379,,,,0,0.0,0.0,0.0
2021-03-08,54.15,59.2,0.9146959459459458,0.916357802500986,,,,0,0.0,0.0,0.0
2021-03-09,54.06,59.28,0.9119433198380567,0.91462002771237,,,,0,0.0,0.0,0.0
2021-03-10,53.63,58.49,0.9169088733116773,0.9150491941237677,,,,0,0.0,0.0,0.0
2021-03-11,53.97,57.73,0.9348692187770656,0.9175444054005484,,,,0,0.0,0.0,0.0
2021-03-12,53.9,58.64,0.9191678035470668,0.9195170322839624,,,,0,0.0,0.0,0.0
2021-03-15,55.42,58.13,0.953380354378118,0.9272539139703969,,,,0,0.0,0.0,0.0
2021-03-16,55.99,58.92,0.9502715546503734,0.9349195609328602,,,,0,0.0,0.0,0.0
2021-03-17,55.92,59.59,0.9384124853163283,0.9392202833337905,,,,0,0.0,0.0,0.0
2021-03-18,55.94,59.25,0.9441350210970464,0.9410734437977866,,,,0,0.0,0.0,0.0
2021-03-19,55.34,58.99,0.9381251059501611,0.9448649042784055,,,,0,0.0,0.0,0.0
2021-03-22,55.62,60.02,0.926691102965678,0.9395270539959174,,,,0,0.0,0.0,0.0
2021-03-23,55.89,61.96,0.9020335700451905,0.9298794570748807,,,,0,0.0,0.0,0.0
2021-03-24,55.58,60.49,0.918829558604728,0.9259628717325608,,,,0,0.0,0.0,0.0
2021-03-25,55.61,60.2,0.9237541528239203,0.9218866980779354,,,,0,0.0,0.0,0.0
2021-03-26,55.51,60.56,0.9166116248348745,0.9175840018548783,,,,0,0.0,0.0,0.0
2021-03-29,55.74,61.35,0.908557457212714,0.9139572727042854,,,,0,0.0,0.0,0.0
2021-03-30,55.91,61.11,0.9149075437735231,0.9165320674499519,0.9628948744849494,0.04979242373953342,-0.9311217159767838,0,1.0,0.0,0.0
2021-03-31,55.6,59.46,0.9350824083417424,0.9197826373973548,0.9623569745597614,0.04991757784528611,-0.8528926883103385,0,1.0,0.0,0.0
2021-04-01,55.49,59.74,0.9288583863408102,0.9208034841007328,0.9618158647051315,0.05010457411727917,-0.8185356592075113,0,1.0,0.0,0.0
2021-04-05,55.49,60.64,0.9150725593667547,0.9204956710071089,0.961037750269682,0.050466676064181405,-0.8033435610265536,0,1.0,0.0,0.0
2021-04-06,55.53,60.68,0.9151285431773237,0.9218098882000308,0.9603659473202607,0.05080962186841168,-0.7588338134080888,0,1.0,0.0,0.0
2021-04-07,55.28,60.4,0.9152317880794703,0.9218747370612203,0.9601967090609685,0.050944839854795754,-0.752224800568115,0,1.0,0.0,0.0
2021-04-08,55.38,60.62,0.9135598812273178,0.9175702316383354,0.9603518146710819,0.050785547517047856,-0.8423968062643299,0,1.0,0.0,0.0
2021-04-09,55.07,61.68,0.892833981841764,0.9103653507385261,0.9593382066725628,0.05152311377123393,-0.9505026453074908,0,1.0,0.0,0.0
2021-04-12,55.02,62.04,0.8868471953578337,0.9047202779367419,0.9583901661331358,0.052332158833302354,-1.0255622812609864,-2,1.0,0.0,0.0
2021-04-13,54.72,61.54,0.8891777705557361,0.8995301234124243,0.957725648255937,0.0529604238983224,-1.0988493021740349,-2,1.0,0.0,0.0
2021-04-14,54.64,61.77,0.8845717986077384,0.8933981255180778,0.9565859149627166,0.05379407978592513,-1.1746234845190424,-2,1.0,0.0,0.0
2021-04-15,54.13,61.76,0.8764572538860105,0.8859776000498165,0.9555761234431963,0.05472766821870634,-1.2717246259286172,-2,1.0,0.0,0.0
2021-04-16,54.11,60.51,0.8942323582878863,0.886257275339041,0.954481659480603,0.05529342856231951,-1.2338606216951888,-2,1.0,0.0,0.0
2021-04-19,54.39,60.47,0.8994542748470317,0.8887786912368807,0.9535663422399261,0.05574794429122976,-1.1621531847809814,-2,1.0,0.0,0.0
2021-04-20,54.52,60.2,0.9056478405315614,0.8920727052320456,0.9520189539917754,0.055768353429406274,-1.0749151637695746,-2,1.0,0.0,0.0
2021-04-21,54.47,60.5,0.9003305785123967,0.8952244612129773,0.9506092404387645,0.05599135102691361,-0.9891666875329579,0,1.0,0.0,0.0
2021-04-22,54.49,60.96,0.8938648293963255,0.8987059763150403,0.9487779106434883,0.056020907991665966,-0.8938079749777876,0,1.0,0.0,0.0
2021-04-23,54.53,61.79,0.8825052597507688,0.8963605566076168,0.9464983568349825,0.05588610340568861,-0.8971425304678193,0,1.0,0.0,0.0
2021-04-26,54.04,62.21,0.8686706317312329,0.8902038279844572,0.943820392962219,0.05569816687025016,-0.962627102300557,0,1.0,0.0,0.0
2021-04-27,54.04,59.32,0.9109912339851652,0.8912725066751778,0.9411757523674772,0.053338529904258074,-0.9355946964019268,0,1.0,0.0,0.0
2021-04-28,53.61,59.58,0.8997985901309165,0.8911661089988818,0.938814394887186,0.05194056033513808,-0.9173617993502822,0,1.0,0.0,0.0
2021-04-29,53.7,60.61,0.885992410493318,0.8895916252182803,0.9365837949286141,0.051271931034878586,-0.9165281814403794,0,1.0,0.0,0.0
2021-04-30,53.64,59.82,0.8966900702106319,0.892428587310253,0.9340807127654579,0.04942916142431021,-0.8426630000386695,0,1.0,0.0,0.0
2021-05-03,53.74,61.32,0.8763861709067189,0.8939716951453501,0.9309844552770273,0.04703046445588859,-0.7869954200939835,0,1.0,0.0,0.0
2021-05-04,54.02,58.42,0.9246833276275248,0.8967101138738218,0.9285148056658951,0.043187498317537425,-0.7364328342945047,0,1.0,0.0,0.0
2021-05-05,54.77,57.51,0.9523561119805252,0.9072216182437437,0.9263692975104507,0.038413120858564215,-0.49846716014582915,0,1.0,0.0,0.0
2021-05-06,53.23,56.39,0.9439616953360525,0.9188154752122907,0.924464870016184,0.034386595861682016,-0.16429060982418023,0,1.0,0.0,0.0
2021-05-07,52.4,56.38,0.9294075913444483,0.9253589794390539,0.9222260588096539,0.029137608457464666,0.10752154329939002,0,1.0,0.0,0.0
2021-05-10,52.58,59.43,0.8847383476358741,0.927029414784885,0.9200629313721884,0.026901047999976755,0.25896698941627055,0,1.0,0.0,0.0
2021-05-11,52.46,59.46,0.8822737975109317,0.9185475087615664,0.9181667289576418,0.02542359183511527,0.014977419649990414,0,1.0,0.0,0.0
2021-05-12,52.48,61.14,0.8583578671900556,0.8997478598034725,0.9158742057450106,0.02447864560423422,-0.6587924104243981,0,1.0,0.0,0.0
2021-05-13,52.4,59.88,0.8750835003340013,0.8859722208030621,0.9145063811755063,0.024425857929840613,-1.1681948062747272,-2,1.0,0.0,0.0
2021-05-14,52.12,58.36,0.8930774503084304,0.8787061925958586,0.9138274938791565,0.024446281175688145,-1.4366725568969612,-2,1.0,0.0,0.0
