date,JPM,BAC,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2014-10-03,60.3,17.29,3.487565066512435,3.521345965848768,3.674772648632699,0.08653612050942869,-1.7729785190360408,-1,0.9712744050096918,0.0049800796812749,-0.01759530791788856
2014-10-06,60.18,17.29,3.4806246385193753,3.5081234508718673,3.6723149188325563,0.08991268043786015,-1.8261213786654262,-1,0.9706767954479388,0.0049800796812749,-0.01759530791788856
2014-10-07,59.27,16.88,3.5112559241706167,3.503747069723586,3.670581087468112,0.09200961868389577,-1.8132236621661662,-1,0.973358999184313,0.0049800796812749,-0.01759530791788856
2014-10-08,60.4,17.12,3.52803738317757,3.4986530005802647,3.6679543438754885,0.09380454937845395,-1.8048308362122008,-1,0.9747636153238604,0.0049800796812749,-0.01759530791788856
2014-10-09,59.08,16.59,3.561181434599156,3.5137328893958304,3.664219037675868,0.09351440216787915,-1.609229645823767,-1,0.9775154233410585,0.0049800796812749,-0.01759530791788856
2014-10-10,58.52,16.48,3.550970873786408,3.526414050850625,3.6599589031161677,0.09273815327556666,-1.4400206123225359,-2,0.9766620625905122,0.0049800796812749,-0.01759530791788856
2014-10-13,58.16,16.4,3.546341463414634,3.5395574158296768,3.656411269447449,0.09294855756285017,-1.2571884565153992,-2,0.9762768585386844,0.0049800796812749,-0.01759530791788856
2014-10-14,57.99,16.52,3.5102905569007268,3.5393643423756993,3.6523731567360005,0.09395740100445685,-1.2027665000540047,-2,0.9733188080427211,0.0049800796812749,-0.01759530791788856
2014-10-15,55.53,15.76,3.5234771573604062,3.5384522972122667,3.6480930509394303,0.09388106089503756,-1.167868712622942,-2,0.9744402460443802,0.0049800796812749,-0.01759530791788856
2014-10-16,55.08,16.08,3.4253731343283587,3.511290637158107,3.6418234966490264,0.09599641208694157,-1.359768106465261,-2,0.9665687116540821,0.0049800796812749,-0.01759530791788856
2014-10-17,56.2,16.21,3.4669956816779766,3.494495598736421,3.636471888185315,0.0966520237909664,-1.4689427482237956,-2,0.9698590108677845,0.0049800796812749,-0.01759530791788856
