date,JPM,BAC,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2021-01-04,125.87,30.03,4.191475191475192,,,,,0,0.0,0.0,0.0
2021-01-05,125.65,30.26,4.1523463317911435,,,,,0,0.0,0.0,0.0
2021-01-06,131.55,32.15,4.091757387247279,,,,,0,0.0,0.0,0.0
2021-01-07,135.87,32.86,4.134814363968351,,,,,0,0.0,0.0,0.0
2021-01-08,136.02,32.53,4.181371042114971,4.150352863319387,,,,0,0.0,0.0,0.0
2021-01-11,138.05,33.07,4.174478379195646,4.146953500863478,,,,0,0.0,0.0,0.0
2021-01-12,140.22,33.66,4.165775401069519,4.1496393147191535,,,,0,0.0,0.0,0.0
2021-01-13,140.35,33.46,4.194560669456067,4.17019997116091,,,,0,0.0,0.0,0.0
2021-01-14,141.17,33.99,4.153280376581347,4.17389317368351,,,,0,0.0,0.0,0.0
2021-01-15,138.64,33.01,4.199939412299303,4.1776068477203765,,,,0,0.0,0.0,0.0
2021-01-19,138.04,32.77,4.212389380530973,4.185189047987442,,,,0,0.0,0.0,0.0
2021-01-20,135.97,32.34,4.20439084724799,4.192912137223136,,,,0,0.0,0.0,0.0
2021-01-21,134.83,31.77,4.243940824677369,4.202788168267396,,,,0,0.0,0.0,0.0
2021-01-22,133.79,31.55,4.2405705229793975,4.220246197547007,,,,0,0.0,0.0,0.0
2021-01-25,132.12,31.16,4.2400513478819,4.228268584663526,,,,0,0.0,0.0,0.0
2021-01-26,131.58,30.94,4.252747252747253,4.236340159106782,,,,0,0.0,0.0,0.0
2021-01-27,127.86,29.83,4.286288970834731,4.25271978382413,,,,0,0.0,0.0,0.0
2021-01-28,130.11,30.32,4.29122691292876,4.262177001474408,,,,0,0.0,0.0,0.0
2021-01-29,128.67,29.65,4.339629005059022,4.281988697890333,,,,0,0.0,0.0,0.0
2021-02-01,129.62,29.96,4.326435246995994,4.299265477713152,,,,0,0.0,0.0,0.0
2021-02-02,133.61,31.03,4.3058330647760235,4.309882640118905,,,,0,0.0,0.0,0.0
2021-02-03,135.14,31.58,4.279290690310323,4.308482984014025,,,,0,0.0,0.0,0.0
2021-02-04,138.25,32.5,4.253846153846154,4.301006832197503,,,,0,0.0,0.0,0.0
2021-02-05,137.98,32.37,4.2625888168056845,4.285598794546836,,,,0,0.0,0.0,0.0
2021-02-08,140.14,33.09,4.235116349350256,4.2673350150176885,,,,0,0.0,0.0,0.0
2021-02-09,139.58,32.95,4.2361153262518965,4.253391467312863,,,,0,0.0,0.0,0.0
2021-02-10,139.66,32.98,4.234687689508793,4.2444708671525575,,,,0,0.0,0.0,0.0
2021-02-11,139.27,32.88,4.2357055961070555,4.240842755604737,,,,0,0.0,0.0,0.0
2021-02-12,141.25,33.37,4.2328438717410855,4.234893766591817,,,,0,0.0,0.0,0.0
2021-02-16,144.65,34.27,4.220892909250073,4.232049078571781,,,,0,0.0,0.0,0.0
2021-02-17,145.1,34.41,4.2167974426038946,4.228185501842181,,,,0,0.0,0.0,0.0
2021-02-18,145.59,34.19,4.258262649897631,4.2329004939199475,,,,0,0.0,0.0,0.0
2021-02-19,148.02,34.54,4.285466126230458,4.242852599944628,,,,0,0.0,0.0,0.0
2021-02-22,149.41,35.15,4.250640113798009,4.246411848356013,,,,0,0.0,0.0,0.0
2021-02-23,150.61,35.52,4.240146396396397,4.250262545785278,,,,0,0.0,0.0,0.0
2021-02-24,153.26,36.38,4.212754260582737,4.249453909381047,,,,0,0.0,0.0,0.0
2021-02-25,151.18,35.93,4.207625939326468,4.239326567266813,,,,0,0.0,0.0,0.0
2021-02-26,147.17,34.71,4.239988475943532,4.230231037209428,,,,0,0.0,0.0,0.0
2021-03-01,150.5,35.79,4.20508521933501,4.22112005831683,,,,0,0.0,0.0,0.0
2021-03-02,150.01,35.53,4.222065859836757,4.217503951004901,,,,0,0.0,0.0,0.0
2021-03-03,152.91,36.42,4.1985172981878085,4.214656558525915,,,,0,0.0,0.0,0.0
2021-03-04,150.56,36.5,4.1249315068493155,4.1981176720304845,,,,0,0.0,0.0,0.0
2021-03-05,150.91,36.93,4.086379637151367,4.167395904272052,,,,0,0.0,0.0,0.0
2021-03-08,152.91,37.13,4.118233234581201,4.15002550732129,,,,0,0.0,0.0,0.0
2021-03-09,151.83,36.32,4.18034140969163,4.141680617292264,,,,0,0.0,0.0,0.0
2021-03-10,155.13,37.37,4.151190794755151,4.132215316605732,,,,0,0.0,0.0,0.0
2021-03-11,154.32,37.24,4.143931256713211,4.136015266578513,,,,0,0.0,0.0,0.0
2021-03-12,156.15,37.94,4.1157090142329995,4.141881141994839,,,,0,0.0,0.0,0.0
2021-03-15,155.37,37.75,4.115761589403974,4.141386812959393,,,,0,0.0,0.0,0.0
2021-03-16,153.51,37.64,4.078374070138151,4.1209933450486975,,,,0,0.0,0.0,0.0
2021-03-17,155.09,37.95,4.086693017127799,4.108093789523227,,,,0,0.0,0.0,0.0
2021-03-18,157.65,38.94,4.048536209553159,4.089014780091216,,,,0,0.0,0.0,0.0
2021-03-19,155.14,38.53,4.0264728782766674,4.07116755289995,,,,0,0.0,0.0,0.0
2021-03-22,150.97,37.66,4.008762612851832,4.049767757589522,,,,0,0.0,0.0,0.0
2021-03-23,149.46,36.9,4.050406504065041,4.0441742443749,,,,0,0.0,0.0,0.0
2021-03-24,150.62,36.9,4.081842818428185,4.043204204634977,,,,0,0.0,0.0,0.0
2021-03-25,152.55,37.66,4.0507169410515145,4.043640350934648,,,,0,0.0,0.0,0.0
2021-03-26,155.09,38.68,4.009565667011375,4.040258908681589,,,,0,0.0,0.0,0.0
2021-03-29,152.68,38.31,3.9853824066823282,4.035582867447689,,,,0,0.0,0.0,0.0
2021-03-30,154.48,38.99,3.962041549115157,4.017909876457712,4.178950203914138,0.0886809541165133,-1.8159516782469856,-1,0.99988,0.0019419989642672191,-0.007694280584765323
2021-03-31,152.23,38.69,3.934608425949858,3.9884629979620465,4.174669091155383,0.0941006258481722,-1.9787976064449708,-1,0.9978187865058283,0.0019419989642672191,-0.007694280584765323
2021-04-01,153.71,39.49,3.8923778171689034,3.9567951731855246,4.170336282578345,0.10088627624071936,-2.1166517126997704,2,0.9944170501449136,0.0,0.0
2021-04-05,153.62,39.8,3.8597989949748746,3.9268418387782242,4.166470309373805,0.10813256322610303,-2.2160620579623416,2,0.9944170501449136,0.0,0.0
2021-04-06,152.54,39.69,3.8432854623330814,3.898422449908375,4.161611494346551,0.11585323006184924,-2.271745417004517,2,0.9944170501449136,0.0,0.0
2021-04-07,154.93,40.05,3.8684144818976285,3.8796970364648695,4.156395551676263,0.12183887449363301,-2.271019954520778,2,0.9944170501449136,0.0,0.0
2021-04-08,155.12,39.7,3.9073047858942065,3.874236308453739,4.151942658454571,0.12597871049619813,-2.204391114236821,2,0.9944170501449136,0.0,0.0
2021-04-09,156.28,39.99,3.907976994248562,3.87735614386967,4.147646018340889,0.12983612408751502,-2.0817771353759125,2,0.9944170501449136,0.0,0.0
2021-04-12,155.95,40.06,3.892910634048926,3.883978471684481,4.14261851775077,0.1337693634807176,-1.9334774371081673,-1,0.9942970501449135,0.0019236934915036871,-0.0074887668497254116
2021-04-13,154.09,39.32,3.9188708036622586,3.8990955399503164,4.138711691535452,0.13684049112184857,-1.7510617626457583,-1,0.9962606677195135,0.0019236934915036871,-0.0074887668497254116
2021-04-14,151.21,39.88,3.7916248746238717,3.883737618495565,4.131906449240861,0.14372381859972108,-1.7267063536382958,-1,0.9865267210281365,0.0019236934915036871,-0.0074887668497254116
2021-04-15,152.17,38.74,3.9279814145585954,3.8878729442284423,4.127166316474654,0.14570084349783674,-1.6423609260008498,-1,0.996910660988667,0.0019236934915036871,-0.0074887668497254116
2021-04-16,153.3,39.15,3.915708812260537,3.8894193078308374,4.122354949224864,0.14785798870500347,-1.57540112261884,-1,0.9960140402256787,0.0019236934915036871,-0.0074887668497254116
2021-04-19,152.65,39.17,3.8971151391370946,3.8902602088484715,4.1165745211325255,0.1497909362633512,-1.510867866438629,-1,0.9946138641192068,0.0019236934915036871,-0.0074887668497254116
2021-04-20,149.27,38.08,3.9199054621848743,3.8904671405529947,4.111230103452617,0.15100746938903478,-1.4619340605654358,-2,0.9962745359841251,0.0019236934915036871,-0.0074887668497254116
2021-04-21,150.54,38.72,3.8879132231404956,3.909724810256319,4.105361134706928,0.15274887562255285,-1.280770962491612,-2,0.9939248159345104,0.0019236934915036871,-0.0074887668497254116
2021-04-22,147.37,38.36,3.8417622523461943,3.8924809778138387,4.0985113847002435,0.15522250184787398,-1.327323064849999,-2,0.9905226636323449,0.0019236934915036871,-0.0074887668497254116
2021-04-23,150.19,39.18,3.8333333333333335,3.876005882028399,4.09096212407522,0.15694039549924285,-1.3696680281900895,-2,0.9898066904616104,0.0019236934915036871,-0.0074887668497254116
2021-04-26,150.56,39.41,3.8203501649327585,3.8606528871875314,4.083114178275286,0.158521581068754,-1.403350191109114,-2,0.98879604067803,0.0019236934915036871,-0.0074887668497254116
2021-04-27,151.25,39.88,3.792627883650953,3.835197371480747,4.073997492918485,0.15924674395195687,-1.4995604651720953,-2,0.9866036687677965,0.0019236934915036871,-0.0074887668497254116
2021-04-28,152.23,40.03,3.8028978266300273,3.818194292178653,4.065271869245719,0.15952333769904664,-1.5488490940002613,-1,0.9873655733620113,0.0019236934915036871,-0.0074887668497254116
2021-04-29,155.19,41.11,3.774993918754561,3.8048406254603266,4.056424550145361,0.1606717422867731,-1.5658255839162916,-1,0.9849718378991588,0.0019236934915036871,-0.0074887668497254116
2021-04-30,153.81,40.53,3.794966691339748,3.79716729706161,4.048352483495852,0.1614494997550453,-1.555812726675186,-1,0.9866606256537245,0.0019236934915036871,-0.0074887668497254116
2021-05-03,153.36,40.56,3.7810650887573964,3.7893102818265376,4.040472799077706,0.16278196161145747,-1.542938263950063,-1,0.9855703005770561,0.0019236934915036871,-0.0074887668497254116
2021-05-04,155.48,41.0,3.7921951219512193,3.789223729486591,4.0326329041634645,0.1632300288627945,-1.4912034040101465,-2,0.9863534733651647,0.0019236934915036871,-0.0074887668497254116
2021-05-05,157.52,41.39,3.8057501812031895,3.789794200401223,4.025476801361013,0.16361395930014896,-1.4404797852696176,-2,0.9873571890164392,0.0019236934915036871,-0.0074887668497254116
2021-05-06,160.69,42.01,3.8250416567483936,3.7998037479999893,4.018625573535955,0.1632504280192381,-1.3404058304225621,-2,0.9888122619376761,0.0019236934915036871,-0.0074887668497254116
2021-05-07,161.24,42.18,3.8226647700331915,3.805343363738678,4.0117585248780285,0.1626725863049827,-1.2688994859426292,-2,0.9885972029935498,0.0019236934915036871,-0.0074887668497254116
2021-05-10,161.22,42.05,3.8340071343638527,3.8159317728599698,4.005063550515642,0.16156196035487252,-1.1706454739732182,-2,0.989532268814184,0.0019236934915036871,-0.0074887668497254116
2021-05-11,158.54,41.57,3.8138080346403656,3.820254355397798,3.9980796198972963,0.1606027858946949,-1.1072364872680094,-2,0.9879713783448223,0.0019236934915036871,-0.0074887668497254116
2021-05-12,157.45,41.18,3.823457989315201,3.823795917020201,3.9914557045650487,0.1594490733259802,-1.0514942736737092,-2,0.9887951715104762,0.0019236934915036871,-0.0074887668497254116
2021-05-13,161.5,41.84,3.8599426386233264,3.830776113395187,3.985508124498706,0.1575453003015165,-0.9821429824144949,0,0.9915187427294734,0.0,0.0
2021-05-14,164.01,42.36,3.871813031161473,3.840605765620843,3.9790672975197694,0.1540665311476116,-0.8987125942769866,0,0.9915187427294734,0.0,0.0
2021-05-17,164.67,42.74,3.8528310715956944,3.844370553067212,3.9718567132758573,0.14954105247608065,-0.8525161358553154,0,0.9915187427294734,0.0,0.0
2021-05-18,162.35,42.16,3.8508064516129035,3.8517702364617192,3.965192818906105,0.14576842490834238,-0.7781011732527457,0,0.9915187427294734,0.0,0.0
2021-05-19,161.11,41.97,3.8386943054562788,3.8548174996899354,3.95850195072377,0.14210129649234934,-0.7296516892751709,0,0.9915187427294734,0.0,0.0
2021-05-20,160.83,41.87,3.8411750656794847,3.8510639851011668,3.9523089641420492,0.1388935762166689,-0.7289392482985967,0,0.9915187427294734,0.0,0.0
2021-05-21,162.66,42.4,3.836320754716981,3.8439655298122686,3.946120544398558,0.13555678151790543,-0.7535957511118382,0,0.9915187427294734,0.0,0.0
2021-05-24,163.54,42.63,3.836265540699038,3.8406524236329376,3.939391828811149,0.13065389936607213,-0.7557325549202242,0,0.9915187427294734,0.0,0.0
2021-05-25,161.85,42.01,3.852654129969055,3.8410219593041672,3.9335179773217166,0.12635813821571656,-0.7320147267415548,0,0.9915187427294734,0.0,0.0
2021-05-26,161.83,42.04,3.8494291151284497,3.8431689212386018,3.927307364909912,0.12097857495962616,-0.6954821851669972,0,0.9915187427294734,0.0,0.0
2021-05-27,164.35,42.55,3.862514688601645,3.847436845823034,3.9217073214168092,0.11588091155626618,-0.6409207055444429,0,0.9915187427294734,0.0,0.0
2021-05-28,164.24,42.39,3.8744987025241806,3.8550724353844736,3.917533441344723,0.11290899753860839,-0.5531977727363262,0,0.9915187427294734,0.0,0.0
2021-06-01,166.05,42.92,3.868825722273998,3.861584471699466,3.9139075427634338,0.11086964688414039,-0.4719332345186049,0,0.9915187427294734,0.0,0.0
2021-06-02,166.06,42.94,3.867256637168142,3.864504973139283,3.909724599473216,0.10771982924915242,-0.4197892500306657,0,0.9915187427294734,0.0,0.0
2021-06-03,166.17,43.25,3.842080924855491,3.863035335084691,3.904086924725947,0.10201739145055475,-0.40239795448163795,0,0.9915187427294734,0.0,0.0
2021-06-04,166.44,43.27,3.846544950311994,3.859841387426761,3.899009493985228,0.09696664457121383,-0.40393381385596894,0,0.9915187427294734,0.0,0.0
2021-06-07,165.66,43.12,3.8418367346938775,3.8533089938607006,3.893974585284906,0.09173564780505543,-0.4432910476701764,0,0.9915187427294734,0.0,0.0
2021-06-08,165.0,42.88,3.8479477611940296,3.849133401644707,3.8895118977342564,0.08716511628863356,-0.4632414641178523,0,0.9915187427294734,0.0,0.0
2021-06-09,162.94,42.32,3.850189035916824,3.845719881394443,3.8850856885094704,0.08207577907691041,-0.4796275778039097,0,0.9915187427294734,0.0,0.0
2021-06-10,160.4,41.69,3.847445430558887,3.8467927825351227,3.881236877849816,0.07818027484224695,-0.4405727069160969,0,0.9915187427294734,0.0,0.0
2021-06-11,160.29,41.86,3.829192546583851,3.843322301789494,3.87694520334075,0.07364694133758842,-0.45654172380537755,0,0.9915187427294734,0.0,0.0
2021-06-14,157.57,41.36,3.8097195357833655,3.8368988620073914,3.8729649254445873,0.0706067776998562,-0.5108017192132722,0,0.9915187427294734,0.0,0.0
2021-06-15,155.18,41.39,3.7492147861802367,3.8171522670046327,3.86834395724298,0.06945330231319706,-0.7370663241828319,0,0.9915187427294734,0.0,0.0
2021-06-16,156.27,41.62,3.754685247477175,3.7980515093167035,3.8641093344867357,0.06848566503472452,-0.964549663590747,0,0.9915187427294734,0.0,0.0
