date,CAT,DE,ratio,ins_ratio,long_mean,long_std,z_score
2022-06-27,187.59,315.33,0.5949005803444012,0.5958604805741936,0.573699093143386,0.03923302587114467,0.5648656186650908
2022-06-28,187.44,309.16,0.6062880062103765,0.5978421076916904,0.5748652068109739,0.0391429212771127,0.5870001556105479
2022-06-29,183.48,300.65,0.6102777315815733,0.6017395688949299,0.5762485144934434,0.03889855168327709,0.6553214271071524
2022-06-30,178.76,299.47,0.59692122750192,0.601013566000302,0.5773813753718191,0.03848528466325654,0.6140578362681434
2022-07-01,178.29,301.63,0.591088419586911,0.5998951930450364,0.578530295713254,0.03783201978302716,0.56473054979125
2022-07-05,173.76,292.13,0.5948036832916852,0.5998758136344933,0.5796813804043869,0.037244679286140295,0.5422098838590687
2022-07-06,172.31,289.14,0.5959396831984506,0.597806149032108,0.5808257112581308,0.03665751767377225,0.46321842971179866
2022-07-07,180.28,303.97,0.5930848438990689,0.5943675714956071,0.5820631560825383,0.03577201715495414,0.3439676146796421
2022-07-08,179.1,304.64,0.5879070378151261,0.5925647335582485,0.5832576705264786,0.034717734098592655,0.2680780665391163
2022-07-11,175.02,298.41,0.5865084950236252,0.5916487486455912,0.5844280741437353,0.03358694370766428,0.21498456557118134
2022-07-12,174.49,295.96,0.5895729152588188,0.5906025950390179,0.5857405555560836,0.03217074209621502,0.1511323384581272
2022-07-13,173.87,296.78,0.5858548419704832,0.5885856267934244,0.5868114237961374,0.031049438788227676,0.057141225945755846
2022-07-14,169.94,294.33,0.5773791322665036,0.5854444844669114,0.5876945302142864,0.029979110131044654,-0.07505378703836024
2022-07-15,173.38,297.7,0.5823983876385623,0.5843427544315987,0.5885634436976022,0.02902672932398667,-0.14540698743194838
2022-07-18,173.49,297.95,0.5822789058566874,0.5834968365982112,0.5893104113402344,0.028255808557561726,-0.20574795197171786
2022-07-19,179.49,311.59,0.5760454443339004,0.5807913424132274,0.589777021637998,0.0277902036667639,-0.32333981184589566
2022-07-20,179.97,315.36,0.5706811263318112,0.5777565992854929,0.5903555987602539,0.02700107516753772,-0.466611029249243
2022-07-21,180.99,316.54,0.5717760788525936,0.5766359886027109,0.5905166579700653,0.02685819527860588,-0.5168131820983181
2022-07-22,178.62,312.26,0.5720233139050791,0.5745609738560143,0.5908694594189979,0.026464527937305502,-0.6162394281741359
2022-07-25,181.81,322.96,0.5629489720089176,0.5706949870864604,0.5910023378451731,0.026300762382462713,-0.7721202322353058
2022-07-26,181.23,319.45,0.5673188292377523,0.5689496640672308,0.5912568131785441,0.025989515029764064,-0.8583134039156316
2022-07-27,185.25,325.71,0.5687574836511007,0.5685649355310887,0.591441971345342,0.025784783537767062,-0.8872300898219798
2022-07-28,187.84,331.63,0.5664143774688659,0.567492595254343,0.5916109049340967,0.02558291186597365,-0.9427507629353197
2022-07-29,198.25,343.18,0.577685179789032,0.5686249684311336,0.5920968041918788,0.025021529186442067,-0.9380655988628951
2022-08-01,194.86,338.19,0.5761849847718739,0.571272170983725,0.5923398939994703,0.024789999075840802,-0.8498476724945492
2022-08-02,183.51,333.21,0.5507337714954533,0.5679551594352652,0.5921233397594265,0.025099010265154573,-0.9629136794176496
2022-08-03,182.87,336.51,0.5434311016017355,0.5628898830253921,0.5917026993211721,0.02570296267443444,-1.1209920296246167
2022-08-04,183.64,342.38,0.5363631053215725,0.5568796285959334,0.5912103046752295,0.026476849304318418,-1.2966299609408845
2022-08-05,185.39,343.31,0.5400075733302263,0.5493441073041723,0.5909351281786429,0.02692551593121108,-1.5446694124906197
2022-08-08,185.81,343.71,0.5406010881266184,0.5422273279751212,0.590549858379942,0.027481216767363575,-1.7583839468930715
2022-08-09,186.03,343.68,0.541288407821229,0.5403382552402763,0.5902489633017444,0.02792397489554292,-1.7873783459615742
2022-08-10,190.72,352.36,0.5412646157339085,0.539904958066711,0.5899829039574965,0.028317210658101572,-1.7684632323225726
2022-08-11,194.0,361.92,0.5360300618921309,0.5398383493808226,0.5896947683219201,0.028780769259748755,-1.7322823615706482
2022-08-12,196.84,368.16,0.5346588439808778,0.5387686035109529,0.5893633090403614,0.02930221874815492,-1.72665100770208
2022-08-15,195.95,366.05,0.5353093839639393,0.5377102626784172,0.5888846746060428,0.02995045541631568,-1.7086355187690423
2022-08-16,197.52,369.98,0.5338666954970539,0.5362259202135821,0.5883315176440977,0.03065855977864529,-1.6995448516407143
2022-08-17,195.93,364.69,0.5372508157613316,0.5354231602190667,0.5867625738443565,0.030826089607228362,-1.6654533312344397
2022-08-18,197.35,367.99,0.5362917470583439,0.5354754972523093,0.5855549561744637,0.03136472965099302,-1.596680713636215
2022-08-19,195.6,369.66,0.5291348807011849,0.5343707045963707,0.5842041530235434,0.03202441613206116,-1.5561079465640004
2022-08-22,191.76,369.64,0.5187750243480143,0.5310638326731858,0.5826789598628509,0.03292758715262126,-1.56753444916647
2022-08-23,197.21,374.88,0.5260616730687153,0.529502828187518,0.5812316006505553,0.03348049109066373,-1.5450422254248906
2022-08-24,194.16,381.38,0.5090985368923383,0.5238723724137193,0.5796841420348396,0.03463271363336071,-1.6115332518257663
2022-08-25,198.88,388.15,0.512379234831895,0.5190898699684295,0.5781687341789019,0.03555858031989639,-1.6614517137349119
2022-08-26,191.92,379.38,0.505878011492435,0.5144384961266797,0.5763028125426229,0.03637006490540243,-1.7009679959838042
2022-08-29,191.78,380.61,0.5038753579779827,0.5114585628526733,0.5745460141534705,0.037284286095643264,-1.6920654223863245
2022-08-30,186.94,368.74,0.5069696805337094,0.507640164345672,0.5727046501032705,0.03785324073747026,-1.7188617008739304
