date,WMT,TGT,ratio,ins_ratio,long_mean,long_std,z_score
2022-04-20,159.63,249.32,0.6402615113107653,0.6533527001882666,0.6614926505919343,0.02508849191650245,-0.3244495695778927
2022-04-21,159.87,248.17,0.6441955111415563,0.6477122882603893,0.6615816118623421,0.025016230147948917,-0.5544130158672191
2022-04-22,156.86,241.68,0.6490400529625953,0.6450751049237347,0.6617121575469036,0.02492838914883063,-0.6673938104801038
2022-04-25,156.94,241.66,0.649424811718944,0.6447290634661951,0.6618657187174919,0.024821846877274734,-0.69038598682945
2022-04-26,155.3,236.5,0.6566596194503171,0.6479163013168356,0.6622803447849144,0.024516712613936027,-0.5858878265723843
2022-04-27,154.24,230.97,0.6677923539853661,0.6534224698517557,0.6628392121947492,0.024247873414198533,-0.38835332823370206
2022-04-28,156.21,236.39,0.660814755277296,0.6567463186789038,0.6631402977213227,0.024105935077305657,-0.2652450121480024
2022-04-29,152.99,228.65,0.669101246446534,0.6607585573756914,0.6635043375356104,0.0240268322890701,-0.11427974053691897
2022-05-02,151.98,229.78,0.661415266776917,0.663156648387286,0.6635072268191498,0.024026566037362612,-0.014591283303595416
2022-05-03,152.51,232.54,0.6558441558441558,0.6629935556660538,0.6635887445352218,0.023991521923039247,-0.02480829982679921
2022-05-04,154.62,237.43,0.6512235185107189,0.6596797885711243,0.6635601122625262,0.02400546518843911,-0.16164334500256383
2022-05-05,152.74,230.76,0.6618998093257065,0.6598967993808065,0.6637919009763017,0.023919590314980137,-0.16284148449883076
2022-05-06,149.56,225.21,0.6640912925713778,0.6588948086057751,0.6642672469898621,0.023630900473512746,-0.22734801791022685
2022-05-09,151.31,224.2,0.6748884924174844,0.6615894537338887,0.6649093279240929,0.023381946993441836,-0.1419845058726437
2022-05-10,149.18,219.11,0.6808452375519145,0.6665896700754403,0.6655954704255489,0.023232513324208295,0.042793460871729735
2022-05-11,147.62,213.49,0.6914609583587054,0.6746371580450378,0.6664159792942642,0.023262661919044227,0.3534066212793642
2022-05-12,147.48,217.27,0.6787867630137616,0.6780145487826487,0.6669196509454203,0.023196706705801883,0.4782962503230414
2022-05-13,148.05,219.73,0.673781459063396,0.6799525820810525,0.6674400401637738,0.022990232324622883,0.5442546965424776
2022-05-16,148.21,219.25,0.6759863169897378,0.680172146995503,0.6673600735515114,0.022951341930864223,0.5582276401347295
2022-05-17,131.35,215.28,0.6101356373095503,0.6660302269470303,0.6662768195525958,0.024084218775950673,-0.010238762895299387
2022-05-18,122.43,161.61,0.757564507146835,0.6792509367046561,0.6673206860306776,0.02657571193991977,0.44891556248613057
2022-05-19,119.07,153.43,0.7760542266831779,0.6987044294385394,0.6684021936353058,0.029544687995147045,1.0256407449017886
2022-05-20,119.2,155.36,0.7672502574665293,0.7173981891191661,0.6694843120393531,0.03190305127122956,1.5018587617988164
2022-05-23,122.6,153.9,0.7966211825860948,0.7415251622384375,0.6713518347106714,0.035838013366450795,1.9580696845617491
2022-05-24,124.13,149.95,0.8278092697565855,0.7850598887278445,0.6738723547937063,0.04113801968081977,2.7027925699101734
2022-05-25,123.37,156.42,0.7887098836465926,0.791288964027796,0.6766884852049666,0.0431060176714327,2.6585726312356077
2022-05-26,126.0,163.2,0.7720588235294118,0.7904898833970428,0.6794657217109518,0.04379919105332134,2.534845028323234
2022-05-27,128.48,167.14,0.7686969008017231,0.7907792120640815,0.6819060894047999,0.044629902130393174,2.439465861726336
2022-05-31,128.63,161.88,0.7946009389671361,0.7903751633402899,0.6845276921433493,0.04654437384690199,2.274119564807205
2022-06-01,125.45,156.52,0.8014950166112956,0.7851123127112318,0.6866977000648846,0.0488928347530053,2.012863707811459
2022-06-02,127.51,160.91,0.7924305512398235,0.785856446229878,0.688831012917429,0.050665177310509506,1.9150319502054327
2022-06-03,125.32,161.04,0.7781917536015897,0.7870830322443136,0.6910400730083197,0.051630768106251494,1.860188464334796
2022-06-06,124.87,159.67,0.782050479113171,0.7897537479066032,0.6930063332051045,0.05281920516963542,1.8316711580718117
2022-06-07,123.37,155.98,0.7909347352224645,0.7890205071576688,0.694748112379944,0.054300935975605195,1.7361099414580408
2022-06-08,122.3,156.7,0.7804722399489471,0.7848159518251991,0.6962555359613887,0.05541169538853546,1.5982260647836701
2022-06-09,121.02,154.55,0.7830475574247815,0.7829393530621908,0.6980239201028194,0.056467961733949655,1.5037807342764151
2022-06-10,121.7,149.67,0.8131222021781253,0.7899254427774979,0.70033935028415,0.058293151883332624,1.5368201855450312
2022-06-13,119.41,144.81,0.8245977487742558,0.7984348967097148,0.703128408988169,0.06016988556881923,1.583956605876193
