date,CVX,XOM,ratio,ins_ratio,long_mean,long_std,z_score
2020-01-03,121.01,70.33,1.7206028721740367,1.72130581217414,1.7073004443332223,0.022175174378783354,0.6315787015554544
2020-01-06,120.6,70.87,1.701707351488641,1.7173920242088836,1.7077015771387765,0.021844757681152953,0.4436051528494537
2020-01-07,119.06,70.29,1.6938398065158626,1.7111686210906398,1.7079493345978016,0.021596305964166243,0.14906653472032746
2020-01-08,117.7,69.23,1.7001300014444605,1.7057947933485775,1.7082211446634339,0.021389121750636838,-0.11343856672301725
2020-01-09,117.51,69.76,1.6844896788990824,1.7001539421044165,1.7083061875434178,0.021282412559380456,-0.3830508132598008
2020-01-10,116.44,69.14,1.6841191784784495,1.692857203365299,1.7084506111893352,0.02108417427191625,-0.7395787770928364
2020-01-13,116.66,69.8,1.6713467048710602,1.686785074041783,1.7081882597489502,0.021449270847110187,-0.9978514355909149
2020-01-14,116.3,69.2,1.6806358381502888,1.6841442803686681,1.707984885815764,0.021654151436981357,-1.1009715858170481
2020-01-15,116.13,69.09,1.680851063829787,1.6802884928457338,1.7077142997154662,0.02189276824188594,-1.2527336226608599
2020-01-16,116.89,68.82,1.6984888113920373,1.6830883193443245,1.7077492431969639,0.021876057364456903,-1.1273020289619102
2020-01-17,115.58,68.56,1.6858226371061842,1.6834290110698713,1.7074292465736383,0.022056302362960148,-1.0881350422576412
2020-01-21,113.31,67.58,1.6766794909736609,1.6844955682903915,1.707182745855696,0.022318775728468687,-1.016506364028112
2020-01-22,112.9,67.19,1.6803095698764698,1.6844303146356279,1.7068239356522816,0.022577706039587475,-0.9918466020147956
2020-01-23,113.1,66.77,1.6938744945334732,1.687035000776365,1.7064944070714014,0.022620691387417614,-0.8602480782643261
2020-01-24,111.85,66.32,1.6865199034981906,1.6846412191975957,1.705834618361251,0.02261626979455457,-0.9370864141688873
2020-01-27,110.39,64.74,1.7051282051282053,1.6885023328019997,1.7054861316962826,0.02246024878707758,-0.7561714500711357
2020-01-28,111.12,64.65,1.7187935034802784,1.6969251353033232,1.7054951630153623,0.0224655771358112,-0.38147373914458854
2020-01-29,110.37,64.11,1.7215722976134769,1.7051776808507249,1.7055411992616605,0.022496133810348578,-0.016159150456706555
2020-01-30,111.4,64.79,1.7194011421515665,1.7102830103743436,1.706369819830087,0.022064482583575188,0.17735247266435478
2020-01-31,107.14,62.12,1.7247263361236318,1.7179242968994317,1.706844480662137,0.022149188985725987,0.5002357533016254
2020-02-03,106.28,60.73,1.7500411658159065,1.726906889036972,1.7082059320256349,0.022253484882459065,0.840360829331407
2020-02-04,106.85,59.97,1.7817241954310488,1.739493027427126,1.7099487078757225,0.023820138398771548,1.240308475828471
2020-02-05,110.28,62.73,1.7580105212816834,1.7467806721607673,1.7114239277448673,0.024012563114662246,1.4724269228182014
2020-02-06,109.49,61.88,1.7693923723335487,1.7567789181971638,1.7124342188734165,0.025147588086475086,1.7633778305600936
2020-02-07,108.94,61.47,1.7722466243696111,1.7662829758463598,1.7133464138213261,0.026301206481709527,2.012704704700411
2020-02-10,109.79,59.96,1.8310540360240162,1.7824855498879817,1.7148024271025204,0.030146650126648206,2.245129143739676
2020-02-11,111.21,60.53,1.837270774822402,1.7935948657662522,1.715801513659638,0.0331022737841706,2.350090891454551
2020-02-12,112.04,61.27,1.8286273869756815,1.8077182389050521,1.7166046708391598,0.035214349816910184,2.587398845630225
2020-02-13,111.66,60.93,1.8325947808961103,1.820358720617564,1.7180878410685283,0.03812461706258801,2.68254181756477
2020-02-14,110.08,60.65,1.8150041220115416,1.8289102201459504,1.7195020467603535,0.04010218459682049,2.728234745452531
2020-02-18,110.24,59.88,1.8410153640614562,1.8309024857534382,1.721568217504148,0.04305814623094645,2.539223766459091
2020-02-19,110.74,60.34,1.8352668213457075,1.8305016950580992,1.7234088764918856,0.04549160901151553,2.3541224611137563
2020-02-20,109.81,59.86,1.834447043100568,1.8316656262830768,1.7255704777293421,0.047621514271425885,2.227882715972232
2020-02-21,109.01,59.13,1.843565026213428,1.8338596753465404,1.7277948076194065,0.049946987105254706,2.123548863990942
2020-02-24,104.71,56.36,1.8578779276082327,1.8424344364658787,1.7301278913497515,0.05267173096974755,2.1321977282392965
2020-02-25,100.71,54.2,1.8581180811808116,1.8458549798897497,1.7325372204401326,0.05514895236618107,2.0547581520171687
2020-02-26,98.04,53.01,1.849462365591398,1.8486940887388876,1.7347177309971753,0.057140305947901676,1.9946753145779719
2020-02-27,94.13,49.82,1.8894018466479325,1.8596850494483608,1.7375542072954588,0.0604839116699547,2.0192285647684103
2020-02-28,93.34,51.44,1.8145412130637637,1.8538802868184276,1.7393448410764738,0.061153774346752406,1.872908859108486
2020-03-02,96.59,53.88,1.792687453600594,1.8408421920169,1.7407683394928968,0.06138828976485362,1.6301782132607663
2020-03-03,94.39,51.3,1.8399610136452242,1.8372107785097824,1.7430439703709608,0.06250106705357739,1.506643207516755
2020-03-04,98.53,52.42,1.8796260969095764,1.8432435247734182,1.746029698892518,0.06467453509454159,1.5031236906271166
2020-03-05,97.19,50.11,1.9395330273398523,1.853269760911802,1.7500595604784754,0.06900286392835099,1.4957379238707362
2020-03-06,95.32,47.69,1.9987418746068357,1.8901098932204163,1.7553070384632374,0.0755471636934177,1.784353616559718
